Antecesor,Fertilizante,Fsecado,Rendimiento,Bloque,MSVicia,AUMaiz,PPEstival,Temporada,FSVicia,AUVicia,PPInvernal
1,0,323,4021.7,1,5027,100.48,359.75,1920,133,135.58,133
1,0,342,704.8,1,5753,73.35,327.75,1920,133,135.58,133
1,0,309,8250.7,2,6480,75.93,374.25,1920,133,135.58,133
1,0,323,5815.5,2,5027,100.48,359.75,1920,133,135.58,133
1,0,342,3962.9,2,5753,73.35,327.75,1920,133,135.58,133
1,0,309,6347,3,6480,75.93,374.25,1920,133,135.58,133
1,0,323,5819.3,3,5027,100.48,359.75,1920,133,135.58,133
1,0,342,7889.3,3,5753,73.35,327.75,1920,133,135.58,133
1,150,309,6040.5,1,6480,75.93,374.25,1920,133,135.58,133
1,150,323,4874.2,1,5027,100.48,359.75,1920,133,135.58,133
1,150,342,5007.7,1,5753,73.35,327.75,1920,133,135.58,133
1,150,309,6914.4,2,6480,75.93,374.25,1920,133,135.58,133
1,150,323,6279.6,2,5027,100.48,359.75,1920,133,135.58,133
1,150,342,5854.4,2,5753,73.35,327.75,1920,133,135.58,133
1,150,309,8114.5,3,6480,75.93,374.25,1920,133,135.58,133
1,150,323,5442.9,3,5027,100.48,359.75,1920,133,135.58,133
1,150,342,5358,3,5753,73.35,327.75,1920,133,135.58,133
0,0,309,9147.6,1,8093,43.09,374.25,1920,133,138.17,133
0,0,323,9904,1,8640,81.01,359.75,1920,133,138.17,133
0,0,342,9668.5,1,8367,91.14,327.75,1920,133,138.17,133
0,0,309,10195,2,8093,43.09,374.25,1920,133,138.17,133
0,0,323,10126.3,2,8640,81.01,359.75,1920,133,138.17,133
0,0,342,6392.1,2,8367,91.14,327.75,1920,133,138.17,133
0,0,309,8155.2,3,8093,43.09,374.25,1920,133,138.17,133
0,0,323,10066.9,3,8640,81.01,359.75,1920,133,138.17,133
0,0,342,6164.5,3,8367,91.14,327.75,1920,133,138.17,133
0,150,309,11056.6,1,8093,43.09,374.25,1920,133,138.17,133
0,150,323,10240.2,1,8640,81.01,359.75,1920,133,138.17,133
0,150,342,8722.3,1,8367,91.14,327.75,1920,133,138.17,133
0,150,309,11369.5,2,8093,43.09,374.25,1920,133,138.17,133
0,150,323,8786.5,2,8640,81.01,359.75,1920,133,138.17,133
0,150,342,7355.8,2,8367,91.14,327.75,1920,133,138.17,133
0,150,309,7789.9,3,8093,43.09,374.25,1920,133,138.17,133
0,150,323,7445,3,8640,81.01,359.75,1920,133,138.17,133
0,150,342,10559.9,3,8367,91.14,327.75,1920,133,138.17,133
1,0,293,1424.621053,1,3186.7,44.01,371.25,2122,146,121.07,104
1,0,307,1244.837427,1,4546.7,67.47,333,2122,146,121.07,104
1,0,321,1487.38538,1,4186.7,41.67,288.75,2122,146,121.07,104
1,0,293,2491.529825,2,5866.7,44.01,371.25,2122,146,121.07,104
1,0,307,1655.4,2,5373.3,67.47,333,2122,146,121.07,104
1,0,321,2209.801754,2,5453.3,41.67,288.75,2122,146,121.07,104
