Antecesor,Fertilizante,Fsecado,Rendimiento,Bloque,MSVicia,AUMaiz,PPEstival,Temporada,FSVicia,AUVicia,PPInvernal
Maíz,Sin fertilizar,Primera,4224.985055,1,2600,75.57,316.35,2021,128,126.61,79
Maíz,Sin fertilizar,Segunda,4317.443795,1,2560,19.72,311.10,2021,128,126.61,79
Maíz,Sin fertilizar,Tercera,4518.439506,1,3440,92.16,236.35,2021,128,126.61,79
Maíz,Sin fertilizar,Primera,4587.087719,2,3000,75.57,316.35,2021,128,126.61,79
Maíz,Sin fertilizar,Segunda,3434.94425,2,2480,19.72,311.10,2021,128,126.61,79
Maíz,Sin fertilizar,Tercera,4202.488889,2,2880,92.16,236.35,2021,128,126.61,79
Maíz,Sin fertilizar,Primera,5596.569201,3,4960,75.57,316.35,2021,128,126.61,79
Maíz,Sin fertilizar,Segunda,5291.663158,3,3040,19.72,311.10,2021,128,126.61,79
Maíz,Sin fertilizar,Tercera,4596.126316,3,3240,92.16,236.35,2021,128,126.61,79
Maíz,Fertilizado,Primera,5103.02846,1,2600,75.57,316.35,2021,128,126.61,79
Maíz,Fertilizado,Segunda,4562.654451,1,2560,19.72,311.10,2021,128,126.61,79
Maíz,Fertilizado,Tercera,3906.887589,1,3440,92.16,236.35,2021,128,126.61,79
Maíz,Fertilizado,Primera,5760.423392,2,3000,75.57,316.35,2021,128,126.61,79
Maíz,Fertilizado,Segunda,4961.465887,2,2480,19.72,311.10,2021,128,126.61,79
Maíz,Fertilizado,Tercera,4303.22807,2,2880,92.16,236.35,2021,128,126.61,79
Maíz,Fertilizado,Primera,5810.884211,3,4960,75.57,316.35,2021,128,126.61,79
Maíz,Fertilizado,Segunda,3889.919688,3,3040,19.72,311.10,2021,128,126.61,79
Maíz,Fertilizado,Tercera,3906.725926,3,3240,92.16,236.35,2021,128,126.61,79
Soja,Sin fertilizar,Primera,2111.777778,1,1480,55.24,316.35,2021,128,89.94,79
Soja,Sin fertilizar,Segunda,2602.039766,1,2480,35.84,311.10,2021,128,89.94,79
Soja,Sin fertilizar,Tercera,3672.835348,1,3160,75.56,236.35,2021,128,89.94,79
Soja,Sin fertilizar,Primera,1838.083431,2,3720,55.24,316.35,2021,128,89.94,79
Soja,Sin fertilizar,Segunda,1924.949708,2,3120,35.84,311.10,2021,128,89.94,79
Soja,Sin fertilizar,Tercera,4226.744639,2,2520,75.56,236.35,2021,128,89.94,79
Soja,Sin fertilizar,Primera,2587.377778,3,3560,55.24,316.35,2021,128,89.94,79
Soja,Sin fertilizar,Segunda,2599.087719,3,2720,35.84,311.10,2021,128,89.94,79
Soja,Sin fertilizar,Tercera,3251.897076,3,2320,75.56,236.35,2021,128,89.94,79
Soja,Fertilizado,Primera,3055.731774,1,1480,55.24,316.35,2021,128,89.94,79
Soja,Fertilizado,Segunda,3035.565952,1,2480,35.84,311.10,2021,128,89.94,79
Soja,Fertilizado,Tercera,3827.722937,1,3160,75.56,236.35,2021,128,89.94,79
Soja,Fertilizado,Primera,2970.385965,2,3720,55.24,316.35,2021,128,89.94,79
Soja,Fertilizado,Segunda,3003.859649,2,3120,35.84,311.10,2021,128,89.94,79
Soja,Fertilizado,Tercera,4071.365302,2,2520,75.56,236.35,2021,128,89.94,79
Soja,Fertilizado,Primera,3123.667836,3,3560,55.24,316.35,2021,128,89.94,79
Soja,Fertilizado,Segunda,1866.222222,3,2720,35.84,311.10,2021,128,89.94,79
Soja,Fertilizado,Tercera,3686.938012,3,2320,75.56,236.35,2021,128,89.94,79
Maíz,Sin fertilizar,Primera,3127.4,1,6480,75.93,374.25,1920,133,135.58,133
Maíz,Sin fertilizar,Segunda,4021.7,1,5027,100.48,359.75,1920,133,135.58,133
Maíz,Sin fertilizar,Tercera,704.8,1,5753,73.35,327.75,1920,133,135.58,133
Maíz,Sin fertilizar,Primera,8250.7,2,6480,75.93,374.25,1920,133,135.58,133
Maíz,Sin fertilizar,Segunda,5815.5,2,5027,100.48,359.75,1920,133,135.58,133
Maíz,Sin fertilizar,Tercera,3962.9,2,5753,73.35,327.75,1920,133,135.58,133
Maíz,Sin fertilizar,Primera,6347,3,6480,75.93,374.25,1920,133,135.58,133
